"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","ERROR","2024-01-26T18:19:14.278+08:00[Asia/Manila]","0.0","14.61"
"Voucher entries","Voucher entry without tax rate","ERROR","2024-01-26T18:19:29.584+08:00[Asia/Manila]","0.0","2.93"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-01-26T18:19:33.229+08:00[Asia/Manila]","0.0","2.67"
"Voucher entries","Voucher entry with single multiple lines","ERROR","2024-01-26T18:19:36.622+08:00[Asia/Manila]","0.0","2.89"
"Voucher entries","Checking line reference place holder","ERROR","2024-01-26T18:19:40.201+08:00[Asia/Manila]","0.0","2.49"
"Voucher entries","Search and post PV","ERROR","2024-01-26T18:19:43.391+08:00[Asia/Manila]","0.0","3.11"
"Voucher entries","Voucher entry delete a line","ERROR","2024-01-26T18:19:47.208+08:00[Asia/Manila]","0.0","2.57"
"Voucher entries","Voucher match with tax","ERROR","2024-01-26T18:19:50.473+08:00[Asia/Manila]","0.0","3.03"
"Voucher entries","Partial voucher match","ERROR","2024-01-26T18:19:54.19+08:00[Asia/Manila]","0.0","2.56"
"Voucher entries","Voucher match with retention","ERROR","2024-01-26T18:19:57.435+08:00[Asia/Manila]","0.0","3.23"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-01-26T18:20:01.371+08:00[Asia/Manila]","0.0","2.45"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-01-26T18:20:04.519+08:00[Asia/Manila]","0.0","3.03"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-01-26T18:20:08.321+08:00[Asia/Manila]","0.0","2.59"
"Voucher entries","Voucher entry multi docs","ERROR","2024-01-26T18:20:11.604+08:00[Asia/Manila]","0.0","2.98"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-01-26T18:20:15.301+08:00[Asia/Manila]","0.0","2.57"
"Voucher entries","Simple prepayment","ERROR","2024-01-26T18:20:18.567+08:00[Asia/Manila]","0.0","2.95"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-01-26T18:20:22.203+08:00[Asia/Manila]","0.0","2.51"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-01-26T18:20:25.414+08:00[Asia/Manila]","0.0","130.23"
"Voucher entries","Partial voucher match with retention","ERROR","2024-01-26T18:22:36.351+08:00[Asia/Manila]","0.0","67.12"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-01-26T18:23:44.198+08:00[Asia/Manila]","0.0","121.58"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-01-26T18:25:46.486+08:00[Asia/Manila]","0.0","97.89"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-01-26T18:27:25.082+08:00[Asia/Manila]","0.0","134.64"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-01-26T18:29:40.432+08:00[Asia/Manila]","0.0","77.44"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-01-26T18:30:58.584+08:00[Asia/Manila]","0.0","68.85"
"Voucher entries","Simple voucher match","ERROR","2024-01-26T18:32:08.149+08:00[Asia/Manila]","0.0","104.27"
"Voucher entries","Release retention partial","ERROR","2024-01-26T18:33:53.115+08:00[Asia/Manila]","0.0","85.16"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-01-26T18:35:18.965+08:00[Asia/Manila]","0.0","113.05"
"Voucher entries","Voucher entry with tax rate rounded","ERROR","2024-01-26T18:37:12.777+08:00[Asia/Manila]","0.0","81.64"
"Voucher entries","Voucher matching","ERROR","2024-01-26T18:38:35.14+08:00[Asia/Manila]","0.0","111.38"
"Voucher entries","Voucher entry export CSV file","ERROR","2024-01-26T18:40:27.222+08:00[Asia/Manila]","0.0","67.91"
"Voucher entries","Creating voucher entry","ERROR","2024-01-26T18:41:35.83+08:00[Asia/Manila]","0.0","68.98"
"Voucher entries","Release retention adding a line","ERROR","2024-01-26T18:42:45.51+08:00[Asia/Manila]","0.0","94.72"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-01-26T18:44:20.928+08:00[Asia/Manila]","0.0","139.87"
"Voucher entries","Voucher entry credit memo","ERROR","2024-01-26T18:46:41.505+08:00[Asia/Manila]","0.0","66.96"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-01-26T18:47:49.185+08:00[Asia/Manila]","0.0","136.97"
