"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","FAILURE","2024-01-26T17:51:53.924+08:00[Asia/Manila]","0.0","68.75"
"Review AP entries","Create manual payment and delete unposted payment","FAILURE","2024-01-26T17:53:03.383+08:00[Asia/Manila]","0.0","66.79"
"Review AP entries","Clear employee field for GL distribution and voucher entries","FAILURE","2024-01-26T17:54:10.875+08:00[Asia/Manila]","0.0","70.54"
"Review AP entries","Reversal of unposted PO redistribution","FAILURE","2024-01-26T17:55:22.126+08:00[Asia/Manila]","0.0","66.56"
"Review AP entries","Create voucher entry and edit","FAILURE","2024-01-26T17:56:29.392+08:00[Asia/Manila]","0.0","66.06"
"Review AP entries","Edit AP entries","FAILURE","2024-01-26T17:57:36.211+08:00[Asia/Manila]","0.0","71.01"
"Review AP entries","Review voucher AP entries","FAILURE","2024-01-26T17:58:47.956+08:00[Asia/Manila]","0.0","67.44"
"Review AP entries","Reversal of unposted voucher match","FAILURE","2024-01-26T18:00:34.468+08:00[Asia/Manila]","0.0","91.61"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-01-26T18:02:06.789+08:00[Asia/Manila]","0.0","69.02"
"Review AP entries","Print payment form","FAILURE","2024-01-26T18:03:16.51+08:00[Asia/Manila]","0.0","63.62"
"Review AP entries","Edit voucher entry line account number","FAILURE","2024-01-26T18:04:20.86+08:00[Asia/Manila]","0.0","69.37"
"Review AP entries","Delete voucher AP entry","FAILURE","2024-01-26T18:06:47.973+08:00[Asia/Manila]","0.0","67.65"
"Review AP entries","Create voucher entry and test filter selection","FAILURE","2024-01-26T18:07:56.344+08:00[Asia/Manila]","0.0","71.76"
"Review AP entries","Create voucher entry review and delete","FAILURE","2024-01-26T18:09:08.811+08:00[Asia/Manila]","0.0","72.85"
