"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Edit a bank account","FAILURE","2024-01-26T17:29:27.886+08:00[Asia/Manila]","0.0","46.62"
"Manage bank account","Manage bank account using GVAGL bank account","FAILURE","2024-01-26T17:31:32.263+08:00[Asia/Manila]","0.0","34.7"
"Payments","Manual payment partial","FAILURE","2024-01-26T17:32:08.793+08:00[Asia/Manila]","0.0","76.88"
"Payments","Application of prepayment full","FAILURE","2024-01-26T17:35:55.933+08:00[Asia/Manila]","0.0","65.73"
"Payments","Manual payment with negative amount","FAILURE","2024-01-26T17:37:02.388+08:00[Asia/Manila]","0.0","69.17"
"Payments","Manual payment with zero payments","FAILURE","2024-01-26T17:38:12.255+08:00[Asia/Manila]","0.0","73.14"
"Payments","Manual payment full","FAILURE","2024-01-26T17:39:26.14+08:00[Asia/Manila]","0.0","67.75"
"Payments","Application of prepayment partial","FAILURE","2024-01-26T17:40:34.576+08:00[Asia/Manila]","0.0","67.03"
"Pre registration","Pre logging and gl distribution voucher match","FAILURE","2024-01-26T17:41:43.758+08:00[Asia/Manila]","0.0","77.09"
"Pre registration","Pre logging multi docs","FAILURE","2024-01-26T17:43:01.536+08:00[Asia/Manila]","0.0","75.74"
"Pre registration","Pre logging","FAILURE","2024-01-26T17:44:18.126+08:00[Asia/Manila]","0.0","70.82"
"Pre registration","Pre logging with tax rate rounded","FAILURE","2024-01-26T17:45:29.665+08:00[Asia/Manila]","0.0","74.28"
"Pre registration","Pre logging simple","FAILURE","2024-01-26T17:46:44.69+08:00[Asia/Manila]","0.0","76.75"
"Pre registration","Pre logging with tax rate","FAILURE","2024-01-26T17:48:02.151+08:00[Asia/Manila]","0.0","72.53"
"Redistribution","Voucher match with tolerance","FAILURE","2024-01-26T17:50:43.72+08:00[Asia/Manila]","0.0","69.07"
"Review AP entries","Edit voucher entries delete a line","FAILURE","2024-01-26T17:51:53.924+08:00[Asia/Manila]","0.0","68.75"
"Review AP entries","Create manual payment and delete unposted payment","FAILURE","2024-01-26T17:53:03.383+08:00[Asia/Manila]","0.0","66.79"
"Review AP entries","Clear employee field for GL distribution and voucher entries","FAILURE","2024-01-26T17:54:10.875+08:00[Asia/Manila]","0.0","70.54"
"Review AP entries","Reversal of unposted PO redistribution","FAILURE","2024-01-26T17:55:22.126+08:00[Asia/Manila]","0.0","66.56"
"Review AP entries","Create voucher entry and edit","FAILURE","2024-01-26T17:56:29.392+08:00[Asia/Manila]","0.0","66.06"
"Review AP entries","Edit AP entries","FAILURE","2024-01-26T17:57:36.211+08:00[Asia/Manila]","0.0","71.01"
"Review AP entries","Review voucher AP entries","FAILURE","2024-01-26T17:58:47.956+08:00[Asia/Manila]","0.0","67.44"
"Review AP entries","Reversal of unposted voucher match","FAILURE","2024-01-26T18:00:34.468+08:00[Asia/Manila]","0.0","91.61"
"Review AP entries","Check edit button for voucher entry and redistribute GL","FAILURE","2024-01-26T18:02:06.789+08:00[Asia/Manila]","0.0","69.02"
"Review AP entries","Print payment form","FAILURE","2024-01-26T18:03:16.51+08:00[Asia/Manila]","0.0","63.62"
"Review AP entries","Edit voucher entry line account number","FAILURE","2024-01-26T18:04:20.86+08:00[Asia/Manila]","0.0","69.37"
"Review AP entries","Delete voucher AP entry","FAILURE","2024-01-26T18:06:47.973+08:00[Asia/Manila]","0.0","67.65"
"Review AP entries","Create voucher entry and test filter selection","FAILURE","2024-01-26T18:07:56.344+08:00[Asia/Manila]","0.0","71.76"
"Review AP entries","Create voucher entry review and delete","FAILURE","2024-01-26T18:09:08.811+08:00[Asia/Manila]","0.0","72.85"
"Supplier creation","View a supplier","FAILURE","2024-01-26T18:10:24.463+08:00[Asia/Manila]","0.0","43.77"
"Supplier creation","Edit a supplier","FAILURE","2024-01-26T18:11:08.96+08:00[Asia/Manila]","0.0","49.78"
"Supplier creation","Payment terms update","FAILURE","2024-01-26T18:11:59.46+08:00[Asia/Manila]","0.0","44.36"
"Supplier creation","Search a supplier","FAILURE","2024-01-26T18:12:44.564+08:00[Asia/Manila]","0.0","40.36"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-01-26T18:13:25.623+08:00[Asia/Manila]","0.0","41.85"
