"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","ERROR","2024-01-26T17:28:13.304+08:00[Asia/Manila]","0.0","73.72"
"Payments","Manual payment with multiple documents","ERROR","2024-01-26T17:33:26.392+08:00[Asia/Manila]","0.0","148.83"
"Redistribution","Pre logging GL distribution current year","ERROR","2024-01-26T17:49:16.175+08:00[Asia/Manila]","0.0","42.45"
"Redistribution","Pre logging GL distribution prior year","ERROR","2024-01-26T17:49:59.345+08:00[Asia/Manila]","0.0","43.68"
"Unbilled PO receipts","Close unbilled PO receipt","ERROR","2024-01-26T18:15:57.97+08:00[Asia/Manila]","0.0","56.41"
"Unbilled PO receipts","Matching receipt","ERROR","2024-01-26T18:16:55.078+08:00[Asia/Manila]","0.0","52.4"
"Unbilled PO receipts","Unbilled PO matching receipts","ERROR","2024-01-26T18:17:48.19+08:00[Asia/Manila]","0.0","14.14"
"Unbilled PO receipts","Matching receipt with DA","ERROR","2024-01-26T18:18:03.06+08:00[Asia/Manila]","0.0","2.79"
"Unbilled PO receipts","Matching receipt validate","ERROR","2024-01-26T18:18:06.576+08:00[Asia/Manila]","0.0","2.34"
"Unbilled PO receipts","Unbilled POCUPR simple","ERROR","2024-01-26T18:18:09.605+08:00[Asia/Manila]","0.0","63.7"
"Voucher entries","Release retention full","ERROR","2024-01-26T18:19:14.278+08:00[Asia/Manila]","0.0","14.61"
"Voucher entries","Voucher entry without tax rate","ERROR","2024-01-26T18:19:29.584+08:00[Asia/Manila]","0.0","2.93"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-01-26T18:19:33.229+08:00[Asia/Manila]","0.0","2.67"
"Voucher entries","Voucher entry with single multiple lines","ERROR","2024-01-26T18:19:36.622+08:00[Asia/Manila]","0.0","2.89"
"Voucher entries","Checking line reference place holder","ERROR","2024-01-26T18:19:40.201+08:00[Asia/Manila]","0.0","2.49"
"Voucher entries","Search and post PV","ERROR","2024-01-26T18:19:43.391+08:00[Asia/Manila]","0.0","3.11"
"Voucher entries","Voucher entry delete a line","ERROR","2024-01-26T18:19:47.208+08:00[Asia/Manila]","0.0","2.57"
"Voucher entries","Voucher match with tax","ERROR","2024-01-26T18:19:50.473+08:00[Asia/Manila]","0.0","3.03"
"Voucher entries","Partial voucher match","ERROR","2024-01-26T18:19:54.19+08:00[Asia/Manila]","0.0","2.56"
