"Story","Title","Result","Date","Stability","Duration (s)"
"Account recon","Refresh accounts","ERROR","2024-01-26T18:50:08.379+08:00[Asia/Manila]","0.0","90.1"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-01-26T18:51:39.335+08:00[Asia/Manila]","0.0","14.73"
"Batch posting","Batch posting voiding process","ERROR","2024-01-26T18:51:54.882+08:00[Asia/Manila]","0.0","2.99"
"Batch posting","Batch posting general ledger entry","ERROR","2024-01-26T18:51:58.563+08:00[Asia/Manila]","0.0","2.46"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-01-26T18:52:01.859+08:00[Asia/Manila]","0.0","100.16"
"General ledger entries","Create general ledger entry","ERROR","2024-01-26T18:53:42.752+08:00[Asia/Manila]","0.0","89.04"
"Inquiry and reports","Order inquiry and update","ERROR","2024-01-26T18:55:12.759+08:00[Asia/Manila]","0.0","61.05"
"Internal transfer","Create internal transfer entry","ERROR","2024-01-26T18:56:14.626+08:00[Asia/Manila]","0.0","52.6"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-01-26T18:57:08.02+08:00[Asia/Manila]","0.0","84.54"
"Salary advance","Create salary advance entry","ERROR","2024-01-26T18:58:33.355+08:00[Asia/Manila]","0.0","2.87"
"Working advance","Create working advance entry","ERROR","2024-01-26T18:58:37.008+08:00[Asia/Manila]","0.0","2.17"
