"Story","Title","Result","Date","Stability","Duration (s)"
"Employees","Search employee","ERROR","2024-01-26T09:52:16.354+08:00[Asia/Manila]","0.0","136.49"
"Manage bank account","Add a bank account","ERROR","2024-01-26T09:54:36.176+08:00[Asia/Manila]","0.0","131.47"
"Manage bank account","Edit a bank account","ERROR","2024-01-26T09:56:48.374+08:00[Asia/Manila]","0.0","129.98"
"Manage bank account","Search a bank account","ERROR","2024-01-26T09:58:59.07+08:00[Asia/Manila]","0.0","129.12"
"Manage bank account","Activate a bank account","ERROR","2024-01-26T10:01:08.915+08:00[Asia/Manila]","0.0","131.26"
"Manage bank account","Manage bank account using GVAGL bank account","ERROR","2024-01-26T10:03:20.911+08:00[Asia/Manila]","0.0","135.08"
"Payments","Manual payment partial","ERROR","2024-01-26T10:05:37.422+08:00[Asia/Manila]","0.0","130.39"
"Payments","Manual payment with multiple documents","ERROR","2024-01-26T10:07:48.533+08:00[Asia/Manila]","0.0","140.3"
"Payments","Application of prepayment full","ERROR","2024-01-26T10:10:09.561+08:00[Asia/Manila]","0.0","133.16"
"Payments","Manual payment with negative amount","ERROR","2024-01-26T10:12:23.454+08:00[Asia/Manila]","0.0","135.43"
"Payments","Manual payment with zero payments","ERROR","2024-01-26T10:14:39.624+08:00[Asia/Manila]","0.0","136.68"
"Payments","Manual payment full","ERROR","2024-01-26T10:16:57.037+08:00[Asia/Manila]","0.0","135.53"
"Payments","Application of prepayment partial","ERROR","2024-01-26T10:19:13.28+08:00[Asia/Manila]","0.0","136.82"
"Pre registration","Pre logging and gl distribution voucher match","ERROR","2024-01-26T10:21:31.932+08:00[Asia/Manila]","0.0","132.31"
"Pre registration","Pre logging multi docs","ERROR","2024-01-26T10:23:44.947+08:00[Asia/Manila]","0.0","135.79"
"Pre registration","Pre logging","ERROR","2024-01-26T10:26:01.437+08:00[Asia/Manila]","0.0","133.35"
