"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","ERROR","2024-01-26T11:44:31.961+08:00[Asia/Manila]","0.0","135.85"
"Voucher entries","Voucher entry without tax rate","ERROR","2024-01-26T11:46:48.598+08:00[Asia/Manila]","0.0","134.69"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2024-01-26T11:49:04.08+08:00[Asia/Manila]","0.0","133.76"
"Voucher entries","Voucher entry with single multiple lines","ERROR","2024-01-26T11:51:18.666+08:00[Asia/Manila]","0.0","140.08"
"Voucher entries","Checking line reference place holder","ERROR","2024-01-26T11:53:39.55+08:00[Asia/Manila]","0.0","133.58"
"Voucher entries","Search and post PV","ERROR","2024-01-26T11:55:53.91+08:00[Asia/Manila]","0.0","137.54"
"Voucher entries","Voucher entry delete a line","ERROR","2024-01-26T11:58:12.213+08:00[Asia/Manila]","0.0","138.98"
"Voucher entries","Voucher match with tax","ERROR","2024-01-26T12:00:31.984+08:00[Asia/Manila]","0.0","136.7"
"Voucher entries","Partial voucher match","ERROR","2024-01-26T12:02:49.534+08:00[Asia/Manila]","0.0","136.47"
"Voucher entries","Voucher match with retention","ERROR","2024-01-26T12:05:06.992+08:00[Asia/Manila]","0.0","141.79"
"Voucher entries","Voucher entry import CSV file","ERROR","2024-01-26T12:07:29.605+08:00[Asia/Manila]","0.0","132.48"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2024-01-26T12:09:42.853+08:00[Asia/Manila]","0.0","138.85"
"Voucher entries","Partial voucher match with tax rate","ERROR","2024-01-26T12:12:02.46+08:00[Asia/Manila]","0.0","140.64"
"Voucher entries","Voucher entry multi docs","ERROR","2024-01-26T12:14:23.9+08:00[Asia/Manila]","0.0","146.21"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2024-01-26T12:16:50.927+08:00[Asia/Manila]","0.0","139.98"
"Voucher entries","Simple prepayment","ERROR","2024-01-26T12:19:11.689+08:00[Asia/Manila]","0.0","133.92"
"Voucher entries","Voucher entry proceed to payment","ERROR","2024-01-26T12:21:26.417+08:00[Asia/Manila]","0.0","137.0"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2024-01-26T12:23:44.19+08:00[Asia/Manila]","0.0","136.89"
"Voucher entries","Partial voucher match with retention","ERROR","2024-01-26T12:26:01.854+08:00[Asia/Manila]","0.0","134.2"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2024-01-26T12:28:16.755+08:00[Asia/Manila]","0.0","133.27"
"Voucher entries","Create voucher entry using sustainability accounts","ERROR","2024-01-26T12:30:30.74+08:00[Asia/Manila]","0.0","134.67"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2024-01-26T12:32:46.121+08:00[Asia/Manila]","0.0","134.43"
"Voucher entries","Voucher match with retention and tax","ERROR","2024-01-26T12:35:01.3+08:00[Asia/Manila]","0.0","130.36"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2024-01-26T12:37:12.402+08:00[Asia/Manila]","0.0","132.61"
"Voucher entries","Simple voucher match","ERROR","2024-01-26T12:39:25.731+08:00[Asia/Manila]","0.0","139.58"
"Voucher entries","Release retention partial","ERROR","2024-01-26T12:41:46.022+08:00[Asia/Manila]","0.0","131.55"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2024-01-26T12:43:58.294+08:00[Asia/Manila]","0.0","130.19"
"Voucher entries","Voucher entry with tax rate rounded","ERROR","2024-01-26T12:46:09.221+08:00[Asia/Manila]","0.0","133.52"
"Voucher entries","Voucher matching","ERROR","2024-01-26T12:48:23.465+08:00[Asia/Manila]","0.0","132.24"
"Voucher entries","Voucher entry export CSV file","ERROR","2024-01-26T12:50:36.422+08:00[Asia/Manila]","0.0","129.6"
"Voucher entries","Creating voucher entry","ERROR","2024-01-26T12:52:46.752+08:00[Asia/Manila]","0.0","132.64"
"Voucher entries","Release retention adding a line","ERROR","2024-01-26T12:55:00.147+08:00[Asia/Manila]","0.0","130.96"
"Voucher entries","Voucher match with rounded off tax","ERROR","2024-01-26T12:57:11.79+08:00[Asia/Manila]","0.0","130.17"
"Voucher entries","Voucher entry credit memo","ERROR","2024-01-26T12:59:22.676+08:00[Asia/Manila]","0.0","129.34"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2024-01-26T13:01:32.735+08:00[Asia/Manila]","0.0","131.34"
