"Story","Title","Result","Date","Stability","Duration (s)"
"Account recon","Refresh accounts","ERROR","2024-01-26T13:03:46.281+08:00[Asia/Manila]","0.0","133.15"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-01-26T13:06:00.265+08:00[Asia/Manila]","0.0","134.82"
"Batch posting","Batch posting voiding process","ERROR","2024-01-26T13:08:15.879+08:00[Asia/Manila]","0.0","133.39"
"Batch posting","Batch posting general ledger entry","ERROR","2024-01-26T13:10:30.001+08:00[Asia/Manila]","0.0","131.73"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-01-26T13:12:42.591+08:00[Asia/Manila]","0.0","135.14"
"General ledger entries","Create general ledger entry","ERROR","2024-01-26T13:14:58.45+08:00[Asia/Manila]","0.0","133.83"
"Inquiry and reports","Order inquiry and update","ERROR","2024-01-26T13:17:13.211+08:00[Asia/Manila]","0.0","122.89"
"Internal transfer","Create internal transfer entry","ERROR","2024-01-26T13:19:16.942+08:00[Asia/Manila]","0.0","131.32"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-01-26T13:21:29.22+08:00[Asia/Manila]","0.0","133.14"
"Salary advance","Create salary advance entry","ERROR","2024-01-26T13:23:43.178+08:00[Asia/Manila]","0.0","135.78"
"Working advance","Create working advance entry","ERROR","2024-01-26T13:25:59.766+08:00[Asia/Manila]","0.0","131.94"
