"Story","Title","Result","Date","Stability","Duration (s)"
"Review AP entries","Edit voucher entries delete a line","ERROR","2024-01-26T10:41:36.985+08:00[Asia/Manila]","0.0","131.48"
"Review AP entries","Create manual payment and delete unposted payment","ERROR","2024-01-26T10:43:49.235+08:00[Asia/Manila]","0.0","132.57"
"Review AP entries","Clear employee field for GL distribution and voucher entries","ERROR","2024-01-26T10:46:02.605+08:00[Asia/Manila]","0.0","133.97"
"Review AP entries","Reversal of unposted PO redistribution","ERROR","2024-01-26T10:48:17.334+08:00[Asia/Manila]","0.0","131.64"
"Review AP entries","Create voucher entry and edit","ERROR","2024-01-26T10:50:29.712+08:00[Asia/Manila]","0.0","133.25"
"Review AP entries","Edit AP entries","ERROR","2024-01-26T10:52:43.719+08:00[Asia/Manila]","0.0","132.24"
"Review AP entries","Review voucher AP entries","ERROR","2024-01-26T10:54:56.792+08:00[Asia/Manila]","0.0","134.59"
"Review AP entries","Search payment","ERROR","2024-01-26T10:57:12.172+08:00[Asia/Manila]","0.0","130.37"
"Review AP entries","Reversal of unposted voucher match","ERROR","2024-01-26T10:59:23.324+08:00[Asia/Manila]","0.0","133.86"
"Review AP entries","Check edit button for voucher entry and redistribute GL","ERROR","2024-01-26T11:01:37.986+08:00[Asia/Manila]","0.0","131.72"
"Review AP entries","Print payment form","ERROR","2024-01-26T11:03:50.46+08:00[Asia/Manila]","0.0","134.08"
"Review AP entries","Edit voucher entry line account number","ERROR","2024-01-26T11:06:05.344+08:00[Asia/Manila]","0.0","131.31"
"Review AP entries","Payment information","ERROR","2024-01-26T11:08:17.394+08:00[Asia/Manila]","0.0","137.95"
"Review AP entries","Delete voucher AP entry","ERROR","2024-01-26T11:10:36.08+08:00[Asia/Manila]","0.0","133.92"
"Review AP entries","Create voucher entry and test filter selection","ERROR","2024-01-26T11:12:50.836+08:00[Asia/Manila]","0.0","134.89"
"Review AP entries","Create voucher entry review and delete","ERROR","2024-01-26T11:15:06.51+08:00[Asia/Manila]","0.0","135.65"
